Index_no,listing_id,date,availability
772,3308979,2/14/2016,1
773,3308979,2/15/2016,1
774,3308979,2/16/2016,1
775,3308979,2/17/2016,0
776,3308979,2/18/2016,0
777,3308979,2/19/2016,0
778,3308979,2/20/2016,0
779,3308979,2/21/2016,0
780,3308979,2/22/2016,0
781,3308979,2/23/2016,0
782,3308979,2/24/2016,0
783,3308979,2/25/2016,0
784,3308979,2/26/2016,0
785,3308979,2/27/2016,0
786,3308979,2/28/2016,0
787,3308979,2/29/2016,0
788,3308979,3/1/2016,0
789,3308979,3/2/2016,0
790,3308979,3/3/2016,0
791,3308979,3/4/2016,0
792,3308979,3/5/2016,0
793,3308979,3/6/2016,0
794,3308979,3/7/2016,0
795,3308979,3/8/2016,0
796,3308979,3/9/2016,0
797,3308979,3/10/2016,0
798,3308979,3/11/2016,1
799,3308979,3/12/2016,1
800,3308979,3/13/2016,1
801,3308979,3/14/2016,0
802,3308979,3/15/2016,0
803,3308979,3/16/2016,0
804,3308979,3/17/2016,0
805,3308979,3/18/2016,0
806,3308979,3/19/2016,0
807,3308979,3/20/2016,0
808,3308979,3/21/2016,0
809,3308979,3/22/2016,0
810,3308979,3/23/2016,0
811,3308979,3/24/2016,0
812,3308979,3/25/2016,0
813,3308979,3/26/2016,1
814,3308979,3/27/2016,1
815,3308979,3/28/2016,1
816,3308979,3/29/2016,1
817,3308979,3/30/2016,1
818,3308979,3/31/2016,1
819,3308979,4/1/2016,1
820,3308979,4/2/2016,1
821,3308979,4/3/2016,0
822,3308979,4/4/2016,0
823,3308979,4/5/2016,0
824,3308979,4/6/2016,0
825,3308979,4/7/2016,0
826,3308979,4/8/2016,1
827,3308979,4/9/2016,1
828,3308979,4/10/2016,1
829,3308979,4/11/2016,0
830,3308979,4/12/2016,0
831,3308979,4/13/2016,0
832,3308979,4/14/2016,0
833,3308979,4/15/2016,0
834,3308979,4/16/2016,0
835,3308979,4/17/2016,0
836,3308979,4/18/2016,0
837,3308979,4/19/2016,0
838,3308979,4/20/2016,0
839,3308979,4/21/2016,0
840,3308979,4/22/2016,0
841,3308979,4/23/2016,0
842,3308979,4/24/2016,0
843,3308979,4/25/2016,0
844,3308979,4/26/2016,0
845,3308979,4/27/2016,0
846,3308979,4/28/2016,0
847,3308979,4/29/2016,0
848,3308979,4/30/2016,0
849,3308979,5/1/2016,0
850,3308979,5/2/2016,0
851,3308979,5/3/2016,0
852,3308979,5/4/2016,0
853,3308979,5/5/2016,0
854,3308979,5/6/2016,0
855,3308979,5/7/2016,0
856,3308979,5/8/2016,0
857,3308979,5/9/2016,0
858,3308979,5/10/2016,0
859,3308979,5/11/2016,0
860,3308979,5/12/2016,0
861,3308979,5/13/2016,0
862,3308979,5/14/2016,0
863,3308979,5/15/2016,0
864,3308979,5/16/2016,0
865,3308979,5/17/2016,0
866,3308979,5/18/2016,0
867,3308979,5/19/2016,0
868,3308979,5/20/2016,0
869,3308979,5/21/2016,0
870,3308979,5/22/2016,0
871,3308979,5/23/2016,0
872,3308979,5/24/2016,0
873,3308979,5/25/2016,0
874,3308979,5/26/2016,0
875,3308979,5/27/2016,0
876,3308979,5/28/2016,0
877,3308979,5/29/2016,0
878,3308979,5/30/2016,0
879,3308979,5/31/2016,0
880,3308979,6/1/2016,0
881,3308979,6/2/2016,0
882,3308979,6/3/2016,0
883,3308979,6/4/2016,0
884,3308979,6/5/2016,0
885,3308979,6/6/2016,0
886,3308979,6/7/2016,0
887,3308979,6/8/2016,0
888,3308979,6/9/2016,0
889,3308979,6/10/2016,0
890,3308979,6/11/2016,0
891,3308979,6/12/2016,0
892,3308979,6/13/2016,0
893,3308979,6/14/2016,0
894,3308979,6/15/2016,0
895,3308979,6/16/2016,0
896,3308979,6/17/2016,1
897,3308979,6/18/2016,1
898,3308979,6/19/2016,1
899,3308979,6/20/2016,1
900,3308979,6/21/2016,1
901,3308979,6/22/2016,1
902,3308979,6/23/2016,1
903,3308979,6/24/2016,1
904,3308979,6/25/2016,1
905,3308979,6/26/2016,1
906,3308979,6/27/2016,1
907,3308979,6/28/2016,1
908,3308979,6/29/2016,1
909,3308979,6/30/2016,1
910,3308979,7/1/2016,1
911,3308979,7/2/2016,1
912,3308979,7/3/2016,1
913,3308979,7/4/2016,1
914,3308979,7/5/2016,1
915,3308979,7/6/2016,1
916,3308979,7/7/2016,1
917,3308979,7/8/2016,1
918,3308979,7/9/2016,1
919,3308979,7/10/2016,1
920,3308979,7/11/2016,1
