cancellation_id,listing_id,instant_bookable,cancellation_policy,calculated_host_listings_count,reviews_per_month
698,7561272,t,strict,21,5.42
699,7326419,f,moderate,2,2.78
700,9373607,f,flexible,1,3.6
701,6717555,f,strict,1,0.23
702,8939433,t,strict,21,5.07
703,8939503,t,strict,21,5.38
704,8742753,t,moderate,2,
705,8939687,t,strict,21,3.87
706,3793406,f,flexible,1,0.53
707,9134196,f,flexible,2,0.81
708,6007267,f,moderate,1,0.43
709,3422894,f,moderate,1,1.01
710,3630581,f,moderate,34,0.53
711,9394508,f,moderate,11,0.67
712,7348578,t,strict,21,5.26
713,8869680,t,strict,2,2.69
714,7678429,f,moderate,1,
715,2979387,f,strict,2,1.02
716,1531458,f,strict,34,1.02
717,1549973,f,moderate,34,0.25
718,1123977,t,strict,1,0.29
719,5719631,f,moderate,34,0.53
720,9580209,f,moderate,11,
721,9364220,t,flexible,2,1
722,9663221,f,moderate,11,
723,9636952,f,flexible,11,
724,8594059,f,strict,1,1.71
725,6278756,f,moderate,1,0.15
726,3679617,f,moderate,34,0.86
727,9416551,t,moderate,11,
728,8322107,f,strict,1,
729,9511676,f,moderate,1,
730,3158243,f,moderate,34,0.7
731,8327124,t,strict,1,0.65
732,4311078,f,strict,31,0.57
733,3329962,f,moderate,34,1.39
734,3263071,f,moderate,34,0.92
735,7302675,f,flexible,1,
736,6250399,f,strict,34,0.22
737,7387294,f,moderate,2,2.4
738,7363462,t,strict,21,5
739,6796336,f,flexible,1,0.23
740,8156894,f,strict,37,
741,1150519,f,strict,1,0.33
742,5969872,f,flexible,1,1.92
743,9617068,f,flexible,1,1
744,4438188,f,strict,1,2.94
745,1521633,f,strict,34,0.28
746,6623079,f,flexible,1,1.5
747,7561254,t,strict,21,2.92
748,3494608,f,strict,1,0.94
749,3085726,f,strict,34,0.07
750,2256124,t,moderate,1,3.28
751,7071021,t,strict,34,0.83
752,9465815,f,flexible,1,1
753,6938103,f,moderate,2,0.51
754,6913414,f,strict,1,2.86
755,3706719,f,moderate,34,0.35
756,8174626,t,strict,2,3.56
757,1571230,f,moderate,34,0.42
758,4270642,f,moderate,34,0.81
759,5407311,f,moderate,34,0.11
760,9976135,f,flexible,1,
761,9558353,f,moderate,11,0.77
762,7247767,t,moderate,2,3.16
763,7035077,f,flexible,1,
764,7353834,f,moderate,34,0.41
765,9319891,f,moderate,11,
766,6575407,f,flexible,1,0.29
767,7550234,t,strict,21,4.45
768,8939736,t,strict,21,4.74
769,7247720,t,moderate,2,3.1
770,1786923,f,moderate,34,0.42
771,7649837,f,strict,1,1.74
772,3610724,f,strict,1,3.88
773,7988337,t,flexible,1,3.44
774,1773803,t,strict,2,4.59
775,7536074,f,flexible,1,0.18
776,3770248,f,strict,34,0.29
777,9097754,t,strict,1,
778,3291295,f,moderate,1,0.6
779,8171726,f,strict,1,0.52
780,10031055,f,strict,1,
781,8939595,t,strict,21,5.38
782,8155580,f,strict,37,1
783,6705584,f,moderate,34,0.44
784,1417880,f,moderate,34,0.37
785,7245692,f,flexible,1,1.15
786,7153101,f,strict,2,5.8
787,9014572,t,flexible,2,
788,585418,f,moderate,1,3.63
789,4484426,f,strict,34,1.02
790,3291777,f,moderate,34,0.37
791,3096191,f,strict,11,0.44
792,9865846,f,flexible,1,1
793,6249536,f,moderate,34,0.26
794,5744931,t,strict,2,0.74
795,8156764,f,strict,37,
796,3303857,f,strict,34,1.23
797,8155710,f,strict,37,2
798,3843706,f,moderate,1,0.23
799,8156860,f,strict,37,
800,9316399,f,flexible,1,2.35
801,293890,f,moderate,1,0.4
802,7915432,f,flexible,1,0.91
803,7501583,f,flexible,1,
804,10126050,f,flexible,1,
